product,tier,substituted_for,product_total_gdp_usd,category,soc_major_group,trainability,pricing,os_platforms
OpenVPMS,k2_1_strategic,AltaPoint,207380447.38674453,['Veterinary practice management'],"['Healthcare Support', 'Healthcare Practitioners and Technical', 'Personal Care and Service']",self_hostable,free,"Linux, Windows, macOS"
Mayan EDMS,k2_1_strategic,Axon Evidence,189751560.3793949,['Information Management'],['Computer and Mathematical'],self_hostable,free,Linux
Blue Sky Plan,k2_1_strategic,Sidexis 4,183894990.97559536,"['Virtual surgical planning', 'Medical Imaging', '3D Treatment Planning']",['Healthcare Practitioners and Technical'],sandbox_ready,freemium,"Windows, macOS"
ODK Collect,k2_1_strategic,GoCanvas,160595589.65610796,"['Survey Creation', 'Electronic data capture', 'Data Entry', 'Survey Tools', 'Mobile Data Collection']","['Community and Social Service', 'Office and Administrative Support', 'Farming, Fishing, and Forestry', 'Life, Physical, and Social Science']",self_hostable,free,Android
Linphone,k2_1_strategic,Voalte One,134034954.06842564,"['Communication software', 'Telephony']",['Office and Administrative Support'],sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
Autopsy,k2_1_strategic,Cellebrite UFED Physical Analyzer,71043602.52362667,"['Digital forensics tools', 'Litigation support software', 'Information Security', 'Security']",['Protective Service'],sandbox_ready,free,"Linux, Windows, macOS"
Forma LMS,k2_1_strategic,Cornerstone Learning,51699954.99529664,['LMS'],['Business and Financial Operations'],self_hostable,free,"Linux, Windows"
Anki,k2_1_strategic,Kahoot!,28480780.52138104,"['Education', 'Language Learning']",['Educational Instruction and Library'],sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
Tier II Submit,k2_1_strategic,ATP Aviation Hub,27511739.8065687,['Compliance'],"['Building and Grounds Cleaning and Maintenance', 'Transportation and Material Moving']",sandbox_ready,free,"Windows, macOS"
Anytune,k2_1_strategic,Spotify,25770336.938510608,['Music Streaming and Editing'],['Personal Care and Service'],sandbox_ready,freemium,"Android, iOS, macOS"
OpenELIS,k2_1_strategic,Epic Beaker,25470036.502835214,"['Laboratory Equipment Software', 'Laboratory Information Management Systems']",['Healthcare Support'],self_hostable,free,"Linux, Web, Windows"
Speech Analyzer,k2_1_strategic,Constant Therapy,20226777.61479769,"['Speech Therapy', 'Speech Analysis']",['Healthcare Practitioners and Technical'],sandbox_ready,free,Windows
Gnumeric,k2_1_strategic,Apple Numbers,17056319.329830136,"['Office Productivity', 'Spreadsheet']","['Computer and Mathematical', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows"
Animal Shelter Manager,k2_1_strategic,Chameleon/CMS,8634537.19480506,['Animal management'],['Protective Service'],self_hostable,free,"Linux, Web, Windows, macOS"
GNOME Web,k2_1_strategic,Apple Safari,7259468.237120058,['Web browsers'],['Computer and Mathematical'],sandbox_ready,free,Linux
JMS,k2_1_strategic,T2 Flex,6595001.778797096,['Parking Management'],['Transportation and Material Moving'],sandbox_ready,free,"Android, Web, Windows, iOS"
Business Calendar 2,k2_1_strategic,Google Calendar,102989.0743934968,"['Calendar', 'Calendar and scheduling']",['Sales and Related'],sandbox_ready,freemium,Android
GNUmed,k2_1_strategic,Centricity Practice Solution,,['Practice Management'],[],self_hostable,free,"Linux, Windows, macOS"
BarTender UltraLite,k2_1_strategic,BarTender,,['Labeling'],[],sandbox_ready,free,Windows
WhisperDesktop,k2_1_strategic,M*Modal Fluency Direct,,['Speech Recognition'],[],sandbox_ready,free,Windows
EasyCode,k2_1_strategic,ICD-10 Consult,,['Medical Coding'],[],sandbox_ready,free,Windows
EuroScope,k2_1_strategic,ERAM,,['Air traffic control systems'],[],sandbox_ready,free,Windows
NosH,k2_1_strategic,CPSI Evident,,['EHR/EMR'],[],self_hostable,free,"Linux, Web"
ManageEngine ADAudit Plus,k2_1_strategic,SafetyCulture,,"['Compliance', 'Auditing']",[],self_hostable,freemium,Windows
ONLYOFFICE Presentation Editor,k2_1_strategic,Keynote,,['Presentation'],[],sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
REMM,k2_1_strategic,Epocrates,,['Medical Reference'],[],sandbox_ready,free,"Android, Windows, iOS"
Portia,k2_1_strategic,Boardmaker 7,,"['Special Education', 'Special education management software', 'IEP']",[],self_hostable,free,"Android, iOS"
OpenPet,k2_1_strategic,AVImark,,['Animal management'],[],self_hostable,free,"Linux, Windows"
OpenICE,k2_1_strategic,Capsule Neuron,,['Medical device interfaces'],[],sandbox_ready,free,"Linux, Windows"
TrackChecker,k2_1_strategic,DispatchTrack,,['Logistics and Tracking'],[],sandbox_ready,free,"Android, Windows, iOS"
OpenBCI GUI,k2_1_strategic,BeneVision CMS,,['Medical device interfaces'],[],sandbox_ready,free,"Linux, Windows, macOS"
OpenDental,k2_1_strategic,NextGen Enterprise,,['Medical scheduling software'],[],self_hostable,freemium,Windows
SolveSpace,k2_1_strategic,Autodesk Fusion,,"['CAD', 'CAD/CAM', 'Computer Aided Design (CAD)']",[],sandbox_ready,free,"Linux, Windows, macOS"
Orange Data Mining,k2_1_strategic,Minitab,,"['Data Analysis', 'Data mining']",[],sandbox_ready,free,"Linux, Windows, macOS"
Odoo Scheduling,k2_1_strategic,UKG Dimensions,,['Scheduling software'],[],self_hostable,freemium,"Android, Linux, Web, Windows, iOS"
2GIS,k2_1_strategic,Waze,,['Navigation'],[],sandbox_ready,free,"Android, Windows, iOS"
SLiMS,k2_1_strategic,Follett Destiny Library Manager,,"['Integrated library systems', 'Library Management Systems']",[],self_hostable,free,"Linux, Windows, macOS"
Aerobridge,k2_1_strategic,Jeppesen FliteDeck Pro,,['Aviation Management'],[],self_hostable,free,"Linux, Windows, macOS"
Heidi,k2_1_strategic,Dragon Medical One,,['Speech Recognition'],[],sandbox_ready,freemium,"Android, Windows, iOS"
Talon,k2_1_strategic,Palantir Gotham,,['Criminal databases'],[],sandbox_ready,free,"Android, Windows, iOS"
bcWebCam,k2_1_strategic,Zebra DataWedge,,['Barcode Scanning'],[],sandbox_ready,freemium,Windows
ShiftCal,k2_1_strategic,FLICA,,['Scheduling software'],[],sandbox_ready,free,"Android, Windows, iOS"
ABC Roster,k2_1_strategic,Deputy,,"['Scheduling software', 'Workforce Management', 'HR Management']",[],sandbox_ready,free,Windows
Care2x,k2_1_strategic,NextGen Practice Management,,['Practice Management'],[],self_hostable,free,"Linux, Windows"
OpenHospital,k2_1_strategic,Greenway Intergy,,['Practice Management'],[],sandbox_ready,free,"Linux, Windows, macOS"
Organic Maps,k2_1_strategic,Apple Maps,,['Navigation'],[],sandbox_ready,free,"Android, Linux, iOS"
Visallo,k2_1_strategic,IBM i2 Analyst's Notebook,,"['Link analysis', 'Intelligence analysis']",[],self_hostable,freemium,"Linux, Windows"
Aronium,k2_1_strategic,QuickBooks Point of Sale,,['POS'],[],sandbox_ready,freemium,Windows
VueMinder,k2_1_strategic,Epic Haiku,,"['Scheduling software', 'Calendar', 'Calendar and scheduling']",[],sandbox_ready,freemium,Windows
WikiEM,k2_1_strategic,Sanford Guide,,['Medical Reference'],[],sandbox_ready,free,"Android, iOS"
OpenTrack,k2_1_strategic,YardMaster,,"['Logistics and Supply Chain', 'Logistics']",[],sandbox_ready,free,"Windows, macOS"
Juris-M,k2_1_strategic,Westlaw,,"['Legal Research', 'Bibliographic Management', 'Reference management']",[],sandbox_ready,free,"Linux, Windows, macOS"
UniTime,k2_1_strategic,Epic Hyperspace,,['Scheduling software'],[],self_hostable,free,"Linux, Windows, macOS"
Subsurface,k2_1_strategic,Samsara Driver,,['Electronic logbooks'],[],sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
Liverpool HEP iChart,k2_1_strategic,Micromedex Drug Reference,,['Drug Reference'],[],sandbox_ready,free,"Android, iOS"
Snipe-IT,k2_1_strategic,EZOfficeInventory,,['Asset Management'],[],self_hostable,freemium,"Linux, Web, Windows, macOS"
Windows Maps,k2_1_strategic,Google Maps,,['Navigation'],[],sandbox_ready,free,Windows
ClearCanvas,k2_1_strategic,Epic Radiant,,"['PACS', 'Medical Imaging', 'Radiology Information Systems']",[],sandbox_ready,freemium,Windows
QuizFaber,k2_1_strategic,Respondus 4.0,,"['Assessment', 'Test Creation', 'E-learning authoring tools']",[],sandbox_ready,free,"Linux, Windows"
Speech Assistant AAC,k2_1_strategic,Proloquo2Go,,['AAC'],[],sandbox_ready,freemium,"Android, iOS"
RosarioSIS,k2_1_strategic,Infinite Campus,,['Student information systems'],[],self_hostable,free,"Android, Linux, Web, Windows, macOS"
DRoster,k2_1_strategic,When I Work,,"['Scheduling software', 'Workforce Management', 'HR Management']",[],sandbox_ready,freemium,Windows
OpenETCS,k2_1_strategic,I-ETMS,,['Positive Train Control'],[],sandbox_ready,free,"Linux, Windows"
Jamovi,k2_1_strategic,GraphPad Prism,,['Data Analysis'],[],sandbox_ready,free,"Linux, Windows, macOS"
Microsoft SQL Server,k2_2_stem,,19013882001.4307,"['Spatial database software', 'Database System']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Production', 'Business and Financial Operations']",self_hostable,freemium,"Linux, Windows"
LibreOffice Writer,k2_2_stem,,18614080763.743603,['Word processing'],"['Computer and Mathematical', 'Healthcare Practitioners and Technical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,free,"Linux, Windows, macOS"
Azure DevOps Server,k2_2_stem,,16833982831.002668,"['Continuous Integration', 'DevOps', 'Requirements management software', 'Test Management', 'Issue Tracking']","['Computer and Mathematical', 'Architecture and Engineering']",self_hostable,freemium,"Web, Windows"
Oracle SQL Developer,k2_2_stem,,12716799866.844938,['Database Client'],"['Computer and Mathematical', 'Architecture and Engineering', 'Production', 'Business and Financial Operations', 'Protective Service']",sandbox_ready,free,"Linux, Windows, macOS"
Splunk Enterprise,k2_2_stem,,9434378042.392387,"['Security Information Management', 'SIEM']","['Computer and Mathematical', 'Business and Financial Operations']",self_hostable,freemium,"Linux, Windows, macOS"
Ubuntu,k2_2_stem,,7821204992.062648,['Operating Systems'],"['Computer and Mathematical', 'Architecture and Engineering', 'Installation, Maintenance, and Repair', 'Life, Physical, and Social Science']",sandbox_ready,free,Linux
Jenkins,k2_2_stem,GitLab,6098452197.738607,"['DevOps', 'Continuous Integration']",['Computer and Mathematical'],self_hostable,free,"Linux, Windows, macOS"
Diagrams.net Desktop,k2_2_stem,Lucidchart,5008637273.816999,['Diagramming'],"['Computer and Mathematical', 'Business and Financial Operations', 'Architecture and Engineering']",sandbox_ready,free,"Linux, Windows, macOS"
openLCA,k2_2_stem,SimaPro,4982596822.079925,"['LCA', 'Carbon Accounting', 'Life Cycle Assessment', 'Sustainability Management']","['Business and Financial Operations', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
ManageEngine OpManager,k2_2_stem,SolarWinds Network Performance Monitor,4850858478.938461,"['Network Diagnostics', 'Performance Management', 'Monitoring', 'Network Analysis']","['Computer and Mathematical', 'Management', 'Arts, Design, Entertainment, Sports, and Media', 'Installation, Maintenance, and Repair']",self_hostable,freemium,"Linux, Windows"
System Advisor Model,k2_2_stem,PVsyst,4840034155.539397,"['Solar Design', 'Solar design and simulation', 'Energy Analysis', 'Energy management']","['Business and Financial Operations', 'Architecture and Engineering', 'Construction and Extraction', 'Sales and Related']",sandbox_ready,free,"Linux, Windows, macOS"
RStudio,k2_2_stem,,4792834213.90765,"['Mathematical computing', 'Scientific Computing', 'Math & Analysis', 'Coding Tools', 'Subject-Specific Software']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Business and Financial Operations', 'Life, Physical, and Social Science']",sandbox_ready,freemium,"Linux, Windows, macOS"
Rancher,k2_2_stem,Kubernetes,4539511013.861041,"['DevOps', 'Cloud Platform']",['Computer and Mathematical'],self_hostable,free,Linux
Fiji,k2_2_stem,,3931775927.498451,"['Scientific Computing', 'Scientific Imaging', 'Microscope Imaging', 'Math & Analysis', 'Data Analysis']","['Architecture and Engineering', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
OpenClinica,k2_2_stem,REDCap,3725545651.853924,"['Clinical Research Management Systems', 'Electronic data capture']","['Computer and Mathematical', 'Management', 'Life, Physical, and Social Science']",self_hostable,freemium,"Linux, Web, Windows"
eQUEST,k2_2_stem,,3671226778.622838,"['Energy audit', 'Energy Simulation', 'Energy Analysis', 'Energy management', 'Load Calculation']","['Business and Financial Operations', 'Architecture and Engineering', 'Construction and Extraction', 'Management']",sandbox_ready,free,Windows
HEC-RAS,k2_2_stem,,3646244813.370538,"['Environmental Management', 'Hydrology & Hydraulics', 'Hydrologic Modeling', 'Scientific simulation', 'Simulation and Modeling']","['Educational Instruction and Library', 'Architecture and Engineering', 'Management', 'Life, Physical, and Social Science']",sandbox_ready,free,Windows
PuTTY,k2_2_stem,,3565945502.298545,['Terminal emulators'],"['Computer and Mathematical', 'Installation, Maintenance, and Repair']",sandbox_ready,free,"Linux, Windows"
YouTrack,k2_2_stem,Jira,3450013884.949782,"['Project management', 'Issue Tracking']",['Computer and Mathematical'],self_hostable,freemium,"Linux, Web, Windows, macOS"
Windows Admin Center,k2_2_stem,PowerShell,2037875111.5735464,['Operating system administration'],['Computer and Mathematical'],sandbox_ready,free,"Web, Windows"
HEC-HMS,k2_2_stem,MODFLOW,1652677662.0719335,"['Hydrology & Hydraulics', 'Hydrologic Modeling', 'Environmental Management']","['Architecture and Engineering', 'Management', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
KNIME Analytics Platform,k2_2_stem,SAS,1347103379.1591733,"['ETL and Data Integration', 'Data Analysis', 'Data mining', 'ETL']","['Business and Financial Operations', 'Architecture and Engineering', 'Computer and Mathematical']",sandbox_ready,free,"Linux, Windows, macOS"
Athena Impact Estimator for Buildings,k2_2_stem,EnergyPlus,1328692485.88798,"['LCA', 'Carbon Accounting', 'Life Cycle Assessment']","['Business and Financial Operations', 'Life, Physical, and Social Science']",sandbox_ready,free,Windows
IBM ILOG CPLEX Optimization Studio,k2_2_stem,Gurobi Optimizer,1317564353.962126,"['Mathematical computing', 'Mathematical modeling and optimization']","['Computer and Mathematical', 'Life, Physical, and Social Science']",sandbox_ready,freemium,"Linux, Windows, macOS"
Oracle SQL Developer Data Modeler,k2_2_stem,erwin Data Modeler,1256305671.5940185,['Data Modeling Tools'],['Computer and Mathematical'],sandbox_ready,free,"Linux, Windows, macOS"
Appium,k2_2_stem,Selenium,1081791271.1129198,"['Automated Testing', 'Testing and QA']",['Computer and Mathematical'],sandbox_ready,free,"Linux, Windows, macOS"
Virtualmin,k2_2_stem,cPanel & WHM,847375389.254061,"['Operating system administration', 'Web server management software']",['Computer and Mathematical'],self_hostable,freemium,Linux
KiCad,k2_2_stem,Allegro PCB Designer,836534387.1521243,"['Electronic Design', 'EDA', 'CAD']","['Architecture and Engineering', 'Installation, Maintenance, and Repair']",sandbox_ready,free,"Linux, Windows, macOS"
CoppeliaSim,k2_2_stem,MATLAB & Simulink,823075228.5943964,"['Simulation software', 'Robotics Programming']",['Architecture and Engineering'],sandbox_ready,freemium,"Linux, Windows, macOS"
PyMOL,k2_2_stem,,817961365.8122302,"['Scientific Computing', 'Subject-Specific Software', 'Data visualization', 'Scientific Graphics', 'Molecular modeling software']","['Computer and Mathematical', 'Educational Instruction and Library', 'Life, Physical, and Social Science']",sandbox_ready,freemium,"Linux, Windows, macOS"
Pentaho Data Integration,k2_2_stem,SQL Server Integration Services,788291531.9003388,"['ETL and Data Integration', 'ETL']",['Computer and Mathematical'],sandbox_ready,freemium,"Linux, Windows, macOS"
FreeIPA,k2_2_stem,Active Directory Domain Services,673109700.4502907,"['Information Security', 'Security Management', 'Identity and Access Management', 'Directory Services']",['Computer and Mathematical'],self_hostable,free,Linux
Micro-Manager,k2_2_stem,Gatan Microscopy Suite,658487163.2465763,"['Equipment control software', 'Lab Equipment Control', 'Scientific Imaging', 'Microscope Imaging', 'Camera control']","['Architecture and Engineering', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
PDF-XChange Editor,k2_2_stem,Bluebeam Revu,551615076.5105971,"['PDF readers', 'PDF Editors', 'PDF Management', 'OCR software']","['Architecture and Engineering', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media', 'Office and Administrative Support', 'Legal']",sandbox_ready,freemium,Windows
SNAP,k2_2_stem,ENVI,543436912.3740405,"['Remote Sensing', 'Scripting', 'Image Analysis']","['Computer and Mathematical', 'Educational Instruction and Library', 'Architecture and Engineering', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
Digilent WaveForms,k2_2_stem,Keysight BenchVue,464375218.6037782,['Data acquisition software'],['Architecture and Engineering'],sandbox_ready,free,"Linux, Windows, macOS"
TeX Live,k2_2_stem,,404648977.6551052,"['Typesetting', 'Document Preparation']","['Computer and Mathematical', 'Educational Instruction and Library', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
GNU Octave,k2_2_stem,MATLAB,300977830.48928666,"['Mathematical computing', 'Scientific Computing', 'Programming Languages', 'Math & Analysis', 'Mathematics']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
Fluke SmartView,k2_2_stem,FLIR Thermal Studio,241390906.3921127,"['Thermal Analysis', 'Building Diagnostics']",['Construction and Extraction'],sandbox_ready,free,Windows
Open-LIMS,k2_2_stem,JusticeTrax LIMS-plus,239278573.4954353,['LIMS'],"['Production', 'Management', 'Life, Physical, and Social Science']",self_hostable,free,"Linux, Web, Windows"
BIMvision,k2_2_stem,Graphisoft Archicad,234058868.78846315,"['CAD viewers', 'BIM']","['Architecture and Engineering', 'Construction and Extraction', 'Installation, Maintenance, and Repair']",sandbox_ready,freemium,Windows
JaamSim,k2_2_stem,FlexSim,227500122.6286635,"['Business Simulation', 'Simulation software']",['Architecture and Engineering'],sandbox_ready,free,"Linux, Windows, macOS"
PsychoPy,k2_2_stem,Q-Local,218671544.8047568,"['Psychological Experiment', 'Assessment']","['Educational Instruction and Library', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
Podman Desktop,k2_2_stem,Docker,216332943.1693139,"['Containerization software', 'Virtualization & Containers']",['Computer and Mathematical'],sandbox_ready,free,"Linux, Windows, macOS"
Angry IP Scanner,k2_2_stem,Nmap,179716177.93601838,"['Network Diagnostics', 'Network Security Testing', 'Network Analysis', 'Diagnostic and Testing']","['Computer and Mathematical', 'Installation, Maintenance, and Repair']",sandbox_ready,free,"Linux, Windows, macOS"
EasyBuilder Pro,k2_2_stem,LabVIEW,177897944.88652807,"['Equipment Control Interfaces', 'HMI software', 'Industrial control software', 'Production Operations']","['Production', 'Transportation and Material Moving']",sandbox_ready,free,Windows
UGENE,k2_2_stem,NCBI BLAST+,132078214.97633845,['Bioinformatics'],"['Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
SeedDMS,k2_2_stem,Autodesk Docs,126501040.25292993,['Information Management'],['Computer and Mathematical'],self_hostable,free,"Linux, Web"
SageMath,k2_2_stem,Wolfram Mathematica,119895993.37928928,"['Mathematical computing', 'Scientific Computing', 'Math & Analysis', 'Symbolic mathematics', 'Mathematics']","['Computer and Mathematical', 'Educational Instruction and Library', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
Orfeo ToolBox,k2_2_stem,ERDAS IMAGINE,108687382.4748081,"['Remote Sensing', 'Scripting', 'Image Analysis', 'Image Processing']","['Educational Instruction and Library', 'Architecture and Engineering', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
O3DE,k2_2_stem,Unreal Engine,97459365.38974272,['Game Engines'],['Computer and Mathematical'],sandbox_ready,free,"Linux, Windows"
Tier2 Submit,k2_2_stem,VelocityEHS,93275069.86918798,['Compliance'],"['Architecture and Engineering', 'Construction and Extraction', 'Life, Physical, and Social Science']",sandbox_ready,free,"Windows, macOS"
GMAT,k2_2_stem,Geant4,92139767.89450388,['Scientific simulation'],"['Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
Micro-Cap,k2_2_stem,PSpice,84980099.00759315,"['Electronic Design', 'EDA', 'Circuit Simulation']",['Architecture and Engineering'],sandbox_ready,free,Windows
Scilab,k2_2_stem,Stata,82307522.85943963,"['Mathematical computing', 'Scientific Computing', 'Programming Languages', 'Math & Analysis', 'Mathematics']","['Educational Instruction and Library', 'Architecture and Engineering', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
ParaView,k2_2_stem,Trimble Business Center,76138284.44620053,"['Data Analysis', 'Scientific Computing', 'Data visualization', 'Scientific Graphics']","['Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
WinBUGS,k2_2_stem,Stan,74930127.18547004,"['Data Analysis', 'Statistical', 'Statistical Analysis']","['Computer and Mathematical', 'Educational Instruction and Library', 'Life, Physical, and Social Science']",sandbox_ready,free,Windows
Bika LIMS,k2_2_stem,Hach WIMS,70146730.25078242,"['Laboratory Information Management Systems', 'Laboratory Equipment Software', 'LIMS']","['Production', 'Life, Physical, and Social Science']",self_hostable,free,"Linux, Web"
Senaite,k2_2_stem,LabWare LIMS,64091928.81688913,"['Laboratory Information Management Systems', 'Laboratory Equipment Software', 'LIMS']","['Production', 'Life, Physical, and Social Science']",self_hostable,free,"Linux, Web"
PEBL,k2_2_stem,Q-interactive,62477584.229930505,"['Psychological Experiment', 'Assessment']",['Educational Instruction and Library'],sandbox_ready,free,"Linux, Windows, macOS"
Wondershare PDFelement,k2_2_stem,Adobe Acrobat Pro,58824496.18412428,"['PDF readers', 'PDF Editors', 'PDF Management', 'OCR software']","['Office and Administrative Support', 'Arts, Design, Entertainment, Sports, and Media', 'Legal']",sandbox_ready,freemium,"Android, Windows, iOS, macOS"
FVS,k2_2_stem,,56565907.38832361,['Scientific simulation'],"['Life, Physical, and Social Science']",sandbox_ready,free,Windows
OpendTect,k2_2_stem,Petrel E&P Software Platform,47322352.97263387,['Seismic interpretation'],"['Life, Physical, and Social Science']",sandbox_ready,freemium,"Linux, Windows, macOS"
Pentaho Business Analytics,k2_2_stem,Alteryx Designer,30377379.11554561,['Business Intelligence'],['Business and Financial Operations'],self_hostable,freemium,"Linux, Windows, macOS"
QField,k2_2_stem,Trimble Access,25073184.275001604,"['GPS receiver software', 'GIS', 'Mobile Data Collection', 'Data Entry']","['Building and Grounds Cleaning and Maintenance', 'Farming, Fishing, and Forestry', 'Installation, Maintenance, and Repair']",sandbox_ready,free,"Android, Linux, Windows, iOS"
Mergin Maps,k2_2_stem,ArcGIS Field Maps,16825634.606394626,"['GPS receiver software', 'GIS', 'Mobile Data Collection']","['Farming, Fishing, and Forestry', 'Installation, Maintenance, and Repair']",self_hostable,freemium,"Android, Windows, iOS"
OpenChrom,k2_2_stem,Chromeleon,15070266.04409738,['Chromatography and Spectroscopy'],"['Life, Physical, and Social Science']",sandbox_ready,freemium,"Linux, Windows, macOS"
Unipro UGENE,k2_2_stem,GATK,12714999.125787672,['Bioinformatics'],"['Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
Orange,k2_2_stem,JMP,7744702.941925379,"['Data Analysis', 'Data visualization']",['Computer and Mathematical'],sandbox_ready,free,"Linux, Windows, macOS"
OrientDB,k2_2_stem,InterSystems IRIS,4361651.786925749,"['Spatial database software', 'Database System', 'Cloud database services']",['Computer and Mathematical'],self_hostable,freemium,"Linux, Windows, macOS"
BlueSky Statistics,k2_2_stem,SAS/STAT,3485116.3238664,"['Statistical', 'Statistical Analysis']",['Computer and Mathematical'],sandbox_ready,freemium,"Windows, macOS"
gvSIG Desktop,k2_2_stem,ArcMap,1901497.3809114844,"['GIS', 'Map creation']",['Architecture and Engineering'],sandbox_ready,free,"Linux, Windows, macOS"
Tatool,k2_2_stem,BRIEF-2 Software Portfolio,,"['Psychological Experiment', 'Assessment']",[],sandbox_ready,free,"Linux, Web, Windows, macOS"
Ogama,k2_2_stem,Tobii Pro Lab,,"['Usability Testing', 'Eye Tracking']",[],sandbox_ready,free,Windows
OpenSCAD,k2_2_stem,Autodesk Inventor,,"['CAD', 'CAD/CAM', 'Computer Aided Design (CAD)']",[],sandbox_ready,free,"Linux, Windows, macOS"
GazeSpeaker,k2_2_stem,Empower,,['AAC'],[],sandbox_ready,free,Windows
ROOT,k2_2_stem,MAXQDA,,"['Data visualization', 'Scientific Computing', 'Data Analysis']",[],sandbox_ready,free,"Linux, Windows, macOS"
Salome-Meca,k2_2_stem,OpenFOAM,,['CAE & Simulation'],[],sandbox_ready,free,"Linux, Windows"
CAMEO Data Manager,k2_2_stem,MasterControl Quality Excellence,,['Compliance'],[],sandbox_ready,free,"Windows, macOS"
LabPlot,k2_2_stem,EViews,,"['Data visualization', 'Data Analysis', 'Scientific Graphics']",[],sandbox_ready,free,"Android, Linux, Windows, macOS"
Zorin OS,k2_2_stem,Microsoft Windows 11,,['Operating Systems'],[],sandbox_ready,freemium,Linux
TopoCal,k2_2_stem,Autodesk Civil 3D,,['Surveying'],[],sandbox_ready,freemium,Windows
Spinnaker,k2_2_stem,Synchro,,['Signal control'],[],self_hostable,free,Windows
BRL-CAD,k2_2_stem,MicroStation,,"['CAD', 'Computer Aided Design (CAD)']",[],sandbox_ready,free,"Linux, Windows, macOS"
SUGAR,k2_2_stem,Simulink,,['Engineering Simulation'],[],sandbox_ready,free,"Linux, Windows, macOS"
Sweet Home 3D,k2_2_stem,SketchUp,,['CAD'],[],sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
ML.NET,k2_2_stem,PyTorch,,['Machine learning frameworks'],[],sandbox_ready,free,"Linux, Windows, macOS"
jMetrik,k2_2_stem,MMPI-2-RF Scoring Software,,['Assessment'],[],sandbox_ready,free,"Linux, Windows, macOS"
Graphite,k2_2_stem,Mastercam,,"['CAD', 'Vector Graphics']",[],self_hostable,free,"Windows, macOS"
Open Ephys GUI,k2_2_stem,SoftMax Pro,,['Data acquisition software'],[],sandbox_ready,free,"Linux, Windows, macOS"
Elmer,k2_2_stem,COMSOL Multiphysics,,"['Finite Element Analysis', 'Multiphysics simulation', 'CAE & Simulation', 'Engineering Simulation', 'Scientific simulation']",[],sandbox_ready,free,"Linux, Windows, macOS"
FreeMat,k2_2_stem,NVivo,,"['Mathematics', 'Data Analysis']",[],sandbox_ready,free,"Linux, Windows, macOS"
CPLEX,k2_2_stem,GAMS,,['Mathematical computing'],[],sandbox_ready,freemium,"Linux, Windows, macOS"
BlenderBIM,k2_2_stem,Autodesk Revit,,['BIM'],[],sandbox_ready,free,"Linux, Windows, macOS"
WinLens3D,k2_2_stem,Ansys Zemax OpticStudio,,['Optical Design'],[],sandbox_ready,freemium,Windows
Argo Workflows,k2_2_stem,Slurm Workload Manager,,['Job scheduling'],[],self_hostable,free,Linux
QCAD,k2_2_stem,CATIA,,"['CAD', 'CAD/CAM', 'Computer Aided Design (CAD)']",[],sandbox_ready,freemium,"Linux, Windows, macOS"
Android Studio,k3_diversity,,12772676107.709684,['Coding Tools'],"['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library']",sandbox_ready,free,"Linux, Windows, macOS"
WordPress,k3_diversity,,12616116671.639618,"['CMS', 'Web Creation', 'Content Management']","['Computer and Mathematical', 'Educational Instruction and Library', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media', 'Management']",self_hostable,free,"Linux, Web, Windows, macOS"
Oracle Database,k3_diversity,,12335346379.37203,['Database System'],"['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Business and Financial Operations', 'Farming, Fishing, and Forestry']",self_hostable,freemium,"Linux, Unix, Windows"
